"産業小分類","総数(経営組織)_事業所数","総数(経営組織)_従業者数(注)","総数(経営組織)_従業者数(注)_男","総数(経営組織)_従業者数(注)_女","総数(経営組織)_従業者数(注)_うち常用雇用者(注)","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_男","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_女","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)_男","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)_女"
"　　　　090 管理，補助的経済活動を行う事業所","11.0","239.0","90.0","149.0","171.0","66.0","105.0","104.0","63.0","41.0"
"　　　　091 畜産食料品製造業","33.0","770.0","339.0","431.0","670.0","267.0","403.0","238.0","160.0","78.0"
"　　　　092 水産食料品製造業","146.0","1571.0","686.0","885.0","1203.0","492.0","711.0","615.0","348.0","267.0"
"　　　　093 野菜缶詰・果実缶詰・農産保存食料品製造業","202.0","3766.0","1404.0","2362.0","3091.0","1082.0","2009.0","1559.0","839.0","720.0"
"　　　　094 調味料製造業","51.0","391.0","176.0","215.0","253.0","115.0","138.0","179.0","102.0","77.0"
"　　　　095 糖類製造業","1.0","3.0","2.0","1.0","3.0","2.0","1.0","3.0","2.0","1.0"
"　　　　096 精穀・製粉業","8.0","50.0","45.0","5.0","25.0","21.0","4.0","20.0","19.0","1.0"
"　　　　097 パン・菓子製造業","138.0","1343.0","501.0","842.0","1008.0","330.0","678.0","480.0","270.0","210.0"
"　　　　098 動植物油脂製造業","1.0","138.0","101.0","37.0","131.0","98.0","33.0","113.0","91.0","22.0"
"　　　　099 その他の食料品製造業","190.0","2871.0","1290.0","1581.0","2333.0","1028.0","1305.0","879.0","536.0","343.0"
"　　　10 飲料・たばこ・飼料製造業","64.0","1450.0","1081.0","369.0","1285.0","977.0","308.0","960.0","828.0","132.0"
"　　　　100 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　101 清涼飲料製造業","18.0","878.0","741.0","137.0","804.0","693.0","111.0","707.0","624.0","83.0"
"　　　　102 酒類製造業","21.0","427.0","249.0","178.0","369.0","214.0","155.0","189.0","147.0","42.0"
"　　　　103 茶・コーヒー製造業(清涼飲料を除く)","7.0","20.0","6.0","14.0","14.0","3.0","11.0","3.0","2.0","1.0"
"　　　　104 製氷業","6.0","15.0","11.0","4.0","10.0","7.0","3.0","7.0","6.0","1.0"
"　　　　105 たばこ製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　106 飼料・有機質肥料製造業","12.0","110.0","74.0","36.0","88.0","60.0","28.0","54.0","49.0","5.0"
"　　　11 繊維工業","719.0","6134.0","3044.0","3090.0","4717.0","2210.0","2507.0","3247.0","1956.0","1291.0"
"　　　　110 管理，補助的経済活動を行う事業所","3.0","21.0","12.0","9.0","19.0","11.0","8.0","10.0","6.0","4.0"
"　　　　111 製糸業，紡績業，化学繊維・ねん糸等製造業","22.0","120.0","74.0","46.0","78.0","46.0","32.0","60.0","41.0","19.0"
"　　　　112 織物業","81.0","439.0","269.0","170.0","282.0","163.0","119.0","217.0","134.0","83.0"
"　　　　113 ニット生地製造業","114.0","1165.0","739.0","426.0","912.0","574.0","338.0","749.0","513.0","236.0"
"　　　　114 染色整理業","35.0","847.0","549.0","298.0","745.0","491.0","254.0","624.0","447.0","177.0"
"　　　　115 綱・網・レース・繊維粗製品製造業","60.0","323.0","218.0","105.0","221.0","148.0","73.0","192.0","139.0","53.0"
"　　　　116 外衣・シャツ製造業(和式を除く)","148.0","1002.0","266.0","736.0","742.0","133.0","609.0","445.0","110.0","335.0"
"　　　　117 下着類製造業","30.0","177.0","41.0","136.0","111.0","13.0","98.0","57.0","9.0","48.0"
"　　　　118 和装製品・その他の衣服・繊維製身の回り品製造業","52.0","421.0","144.0","277.0","311.0","86.0","225.0","117.0","65.0","52.0"
"　　　　119 その他の繊維製品製造業","174.0","1619.0","732.0","887.0","1296.0","545.0","751.0","776.0","492.0","284.0"
"　　　12 木材・木製品製造業(家具を除く)","293.0","1918.0","1438.0","480.0","1411.0","1073.0","338.0","1152.0","937.0","215.0"
"　　　　120 管理，補助的経済活動を行う事業所","2.0","3.0","3.0","-","2.0","2.0","-","-","-","-"
"　　　　121 製材業，木製品製造業","181.0","988.0","738.0","250.0","664.0","498.0","166.0","523.0","421.0","102.0"
"　　　　122 造作材・合板・建築用組立材料製造業","46.0","670.0","553.0","117.0","596.0","500.0","96.0","544.0","464.0","80.0"
"　　　　123 木製容器製造業(竹，とうを含む)","17.0","84.0","41.0","43.0","52.0","21.0","31.0","31.0","15.0","16.0"
"　　　　129 その他の木製品製造業(竹，とうを含む)","47.0","173.0","103.0","70.0","97.0","52.0","45.0","54.0","37.0","17.0"
"　　　13 家具・装備品製造業","386.0","2138.0","1530.0","608.0","1474.0","1041.0","433.0","1104.0","910.0","194.0"
"　　　　130 管理，補助的経済活動を行う事業所","2.0","2.0","1.0","1.0","1.0","-","1.0","1.0","-","1.0"
"　　　　131 家具製造業","93.0","808.0","555.0","253.0","635.0","428.0","207.0","454.0","384.0","70.0"
"　　　　132 宗教用具製造業","3.0","11.0","5.0","6.0","4.0","1.0","3.0","-","-","-"
"　　　　133 建具製造業","280.0","1290.0","949.0","341.0","822.0","603.0","219.0","640.0","519.0","121.0"
"　　　　139 その他の家具・装備品製造業","8.0","27.0","20.0","7.0","12.0","9.0","3.0","9.0","7.0","2.0"
"　　　14 パルプ・紙・紙加工品製造業","63.0","881.0","585.0","296.0","751.0","504.0","247.0","507.0","429.0","78.0"
"　　　　140 管理，補助的経済活動を行う事業所","2.0","55.0","45.0","10.0","50.0","40.0","10.0","47.0","37.0","10.0"
"　　　　141 パルプ製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　142 紙製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　143 加工紙製造業","1.0","1.0","1.0","-","-","-","-","-","-","-"
"　　　　144 紙製品製造業","6.0","36.0","17.0","19.0","18.0","9.0","9.0","14.0","8.0","6.0"
"　　　　145 紙製容器製造業","47.0","743.0","486.0","257.0","649.0","428.0","221.0","423.0","363.0","60.0"
"　　　　149 その他のパルプ・紙・紙加工品製造業","7.0","46.0","36.0","10.0","34.0","27.0","7.0","23.0","21.0","2.0"
"　　　15 印刷・同関連業","215.0","2011.0","1351.0","660.0","1635.0","1098.0","537.0","1065.0","764.0","301.0"
"　　　　150 管理，補助的経済活動を行う事業所","3.0","23.0","21.0","2.0","19.0","17.0","2.0","19.0","17.0","2.0"
"　　　　151 印刷業","196.0","1933.0","1301.0","632.0","1579.0","1064.0","515.0","1020.0","733.0","287.0"
"　　　　152 製版業","4.0","27.0","16.0","11.0","23.0","13.0","10.0","18.0","11.0","7.0"
"　　　　153 製本業，印刷物加工業","11.0","27.0","12.0","15.0","14.0","4.0","10.0","8.0","3.0","5.0"
"　　　　159 印刷関連サービス業","1.0","1.0","1.0","-","-","-","-","-","-","-"
"　　　16 化学工業","113.0","5663.0","4268.0","1395.0","5415.0","4095.0","1320.0","4482.0","3746.0","736.0"
"　　　　160 管理，補助的経済活動を行う事業所","7.0","114.0","85.0","29.0","93.0","69.0","24.0","89.0","66.0","23.0"
"　　　　161 化学肥料製造業","2.0","6.0","5.0","1.0","3.0","2.0","1.0","2.0","2.0","-"
"　　　　162 無機化学工業製品製造業","15.0","338.0","314.0","24.0","319.0","296.0","23.0","279.0","261.0","18.0"
"　　　　163 有機化学工業製品製造業","21.0","960.0","885.0","75.0","918.0","850.0","68.0","888.0","834.0","54.0"
"　　　　164 油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業","13.0","2003.0","1764.0","239.0","1967.0","1733.0","234.0","1901.0","1708.0","193.0"
"　　　　165 医薬品製造業","25.0","777.0","421.0","356.0","693.0","380.0","313.0","582.0","351.0","231.0"
"　　　　166 化粧品・歯磨・その他の化粧用調整品製造業","9.0","876.0","379.0","497.0","860.0","370.0","490.0","388.0","224.0","164.0"
"　　　　169 その他の化学工業","21.0","589.0","415.0","174.0","562.0","395.0","167.0","353.0","300.0","53.0"
"　　　17 石油製品・石炭製品製造業","22.0","1036.0","956.0","80.0","1018.0","941.0","77.0","920.0","876.0","44.0"
"　　　　170 管理，補助的経済活動を行う事業所","2.0","7.0","3.0","4.0","7.0","3.0","4.0","3.0","3.0","-"
"　　　　171 石油精製業","3.0","690.0","635.0","55.0","681.0","628.0","53.0","631.0","602.0","29.0"
"　　　　172 潤滑油・グリース製造業(石油精製業によらないもの)","3.0","167.0","159.0","8.0","164.0","156.0","8.0","130.0","123.0","7.0"
"　　　　173 コークス製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　174 舗装材料製造業","10.0","30.0","21.0","9.0","27.0","18.0","9.0","17.0","12.0","5.0"
"　　　　179 その他の石油製品・石炭製品製造業","4.0","142.0","138.0","4.0","139.0","136.0","3.0","139.0","136.0","3.0"
"　　　18 プラスチック製品製造業(別掲を除く)","146.0","2508.0","1509.0","999.0","2186.0","1314.0","872.0","1453.0","1074.0","379.0"
"　　　　180 管理，補助的経済活動を行う事業所","3.0","37.0","13.0","24.0","32.0","10.0","22.0","31.0","9.0","22.0"
"　　　　181 プラスチック板・棒・管・継手・異形押出製品製造業","8.0","194.0","160.0","34.0","184.0","151.0","33.0","136.0","118.0","18.0"
"　　　　182 プラスチックフィルム・シート・床材・合成皮革製造業","16.0","636.0","488.0","148.0","599.0","456.0","143.0","437.0","376.0","61.0"
"　　　　183 工業用プラスチック製品製造業","12.0","120.0","69.0","51.0","98.0","54.0","44.0","72.0","49.0","23.0"
"　　　　184 発泡・強化プラスチック製品製造業","17.0","209.0","145.0","64.0","171.0","121.0","50.0","138.0","110.0","28.0"
"　　　　185 プラスチック成形材料製造業(廃プラスチックを含む)","8.0","86.0","64.0","22.0","66.0","56.0","10.0","63.0","55.0","8.0"
"　　　　189 その他のプラスチック製品製造業","82.0","1226.0","570.0","656.0","1036.0","466.0","570.0","576.0","357.0","219.0"
"　　　19 ゴム製品製造業","25.0","1187.0","729.0","458.0","1132.0","693.0","439.0","774.0","624.0","150.0"
"　　　　190 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　191 タイヤ・チューブ製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　192 ゴム製・プラスチック製履物・同附属品製造業","2.0","56.0","20.0","36.0","56.0","20.0","36.0","47.0","20.0","27.0"
"　　　　193 ゴムベルト・ゴムホース・工業用ゴム製品製造業","17.0","1101.0","689.0","412.0","1057.0","661.0","396.0","712.0","594.0","118.0"
"　　　　199 その他のゴム製品製造業","6.0","30.0","20.0","10.0","19.0","12.0","7.0","15.0","10.0","5.0"
"　　　20 なめし革・同製品・毛皮製造業","27.0","191.0","109.0","82.0","144.0","79.0","65.0","110.0","68.0","42.0"
"　　　　200 管理，補助的経済活動を行う事業所","1.0","1.0","1.0","-","1.0","1.0","-","1.0","1.0","-"
"　　　　201 なめし革製造業","10.0","94.0","65.0","29.0","74.0","50.0","24.0","68.0","44.0","24.0"
"　　　　202 工業用革製品製造業(手袋を除く)","-","-","-","-","-","-","-","-","-","-"
"　　　　203 革製履物用材料・同附属品製造業","1.0","5.0","2.0","3.0","1.0","1.0","-","1.0","1.0","-"
"　　　　204 革製履物製造業","3.0","15.0","8.0","7.0","12.0","6.0","6.0","7.0","4.0","3.0"
"　　　　205 革製手袋製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　206 かばん製造業","5.0","56.0","26.0","30.0","47.0","21.0","26.0","31.0","18.0","13.0"
"　　　　207 袋物製造業","6.0","18.0","6.0","12.0","9.0","-","9.0","2.0","-","2.0"
"　　　　208 毛皮製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　209 その他のなめし革製品製造業","1.0","2.0","1.0","1.0","-","-","-","-","-","-"
"　　　21 窯業・土石製品製造業","152.0","1768.0","1482.0","286.0","1454.0","1251.0","203.0","1248.0","1120.0","128.0"
"　　　　210 管理，補助的経済活動を行う事業所","8.0","24.0","14.0","10.0","18.0","8.0","10.0","17.0","8.0","9.0"
"　　　　211 ガラス・同製品製造業","8.0","204.0","191.0","13.0","189.0","179.0","10.0","176.0","171.0","5.0"
"　　　　212 セメント・同製品製造業","86.0","1032.0","880.0","152.0","836.0","726.0","110.0","709.0","633.0","76.0"
"　　　　213 建設用粘土製品製造業(陶磁器製を除く)","2.0","8.0","5.0","3.0","2.0","1.0","1.0","2.0","1.0","1.0"
"　　　　214 陶磁器・同関連製品製造業","5.0","9.0","6.0","3.0","2.0","1.0","1.0","-","-","-"
"　　　　215 耐火物製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　216 炭素・黒鉛製品製造業","3.0","21.0","16.0","5.0","18.0","14.0","4.0","13.0","11.0","2.0"
"　　　　217 研磨材・同製品製造業","3.0","44.0","32.0","12.0","35.0","28.0","7.0","32.0","27.0","5.0"
"　　　　218 骨材・石工品等製造業","27.0","161.0","119.0","42.0","108.0","85.0","23.0","97.0","81.0","16.0"
"　　　　219 その他の窯業・土石製品製造業","10.0","265.0","219.0","46.0","246.0","209.0","37.0","202.0","188.0","14.0"
"　　　22 鉄鋼業","82.0","4629.0","4398.0","231.0","4289.0","4098.0","191.0","4029.0","3874.0","155.0"
"　　　　220 管理，補助的経済活動を行う事業所","2.0","5.0","5.0","-","4.0","4.0","-","4.0","4.0","-"
"　　　　221 製鉄業","1.0","1103.0","1096.0","7.0","1103.0","1096.0","7.0","1103.0","1096.0","7.0"
"　　　　222 製鋼・製鋼圧延業","2.0","372.0","354.0","18.0","367.0","349.0","18.0","345.0","332.0","13.0"
"　　　　223 製鋼を行わない鋼材製造業(表面処理鋼材を除く)","9.0","2173.0","2086.0","87.0","1985.0","1902.0","83.0","1847.0","1769.0","78.0"
"　　　　224 表面処理鋼材製造業","2.0","161.0","152.0","9.0","161.0","152.0","9.0","135.0","130.0","5.0"
"　　　　225 鉄素形材製造業","12.0","176.0","150.0","26.0","150.0","130.0","20.0","126.0","114.0","12.0"
"　　　　229 その他の鉄鋼業","54.0","639.0","555.0","84.0","519.0","465.0","54.0","469.0","429.0","40.0"
"　　　23 非鉄金属製造業","22.0","629.0","514.0","115.0","604.0","490.0","114.0","530.0","465.0","65.0"
"　　　　230 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　231 非鉄金属第１次製錬・精製業","1.0","102.0","99.0","3.0","99.0","96.0","3.0","92.0","91.0","1.0"
"　　　　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)","4.0","8.0","8.0","-","5.0","5.0","-","4.0","4.0","-"
"　　　　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)","6.0","79.0","72.0","7.0","75.0","68.0","7.0","74.0","67.0","7.0"
"　　　　234 電線・ケーブル製造業","4.0","157.0","80.0","77.0","155.0","78.0","77.0","109.0","72.0","37.0"
"　　　　235 非鉄金属素形材製造業","2.0","135.0","121.0","14.0","127.0","113.0","14.0","120.0","109.0","11.0"
"　　　　239 その他の非鉄金属製造業","5.0","148.0","134.0","14.0","143.0","130.0","13.0","131.0","122.0","9.0"
"　　　24 金属製品製造業","339.0","4662.0","3880.0","782.0","4045.0","3422.0","623.0","3470.0","3131.0","339.0"
"　　　　240 管理，補助的経済活動を行う事業所","5.0","15.0","12.0","3.0","12.0","10.0","2.0","4.0","4.0","-"
"　　　　241 ブリキ缶・その他のめっき板等製品製造業","2.0","89.0","72.0","17.0","81.0","65.0","16.0","78.0","62.0","16.0"
"　　　　242 洋食器・刃物・手道具・金物類製造業","28.0","126.0","86.0","40.0","92.0","58.0","34.0","65.0","54.0","11.0"
"　　　　243 暖房装置・配管工事用附属品製造業","12.0","139.0","102.0","37.0","122.0","91.0","31.0","103.0","88.0","15.0"
"　　　　244 建設用・建築用金属製品製造業(製缶板金業を含む)","201.0","2701.0","2367.0","334.0","2340.0","2099.0","241.0","2063.0","1920.0","143.0"
"　　　　245 金属素形材製品製造業","19.0","590.0","439.0","151.0","542.0","407.0","135.0","432.0","373.0","59.0"
"　　　　246 金属被覆・彫刻業，熱処理業(ほうろう鉄器を除く)","33.0","520.0","422.0","98.0","429.0","350.0","79.0","357.0","311.0","46.0"
"　　　　247 金属線製品製造業(ねじ類を除く)","16.0","105.0","82.0","23.0","84.0","68.0","16.0","62.0","55.0","7.0"
"　　　　248 ボルト・ナット・リベット・小ねじ・木ねじ等製造業","9.0","210.0","159.0","51.0","192.0","146.0","46.0","174.0","142.0","32.0"
"　　　　249 その他の金属製品製造業","14.0","167.0","139.0","28.0","151.0","128.0","23.0","132.0","122.0","10.0"
"　　　25 はん用機械器具製造業","93.0","2580.0","2154.0","426.0","2402.0","2021.0","381.0","1770.0","1612.0","158.0"
"　　　　250 管理，補助的経済活動を行う事業所","2.0","7.0","7.0","-","7.0","7.0","-","7.0","7.0","-"
"　　　　251 ボイラ・原動機製造業","2.0","18.0","17.0","1.0","16.0","15.0","1.0","16.0","15.0","1.0"
"　　　　252 ポンプ・圧縮機器製造業","4.0","62.0","41.0","21.0","55.0","36.0","19.0","54.0","35.0","19.0"
"　　　　253 一般産業用機械・装置製造業","28.0","1794.0","1519.0","275.0","1720.0","1463.0","257.0","1219.0","1123.0","96.0"
"　　　　259 その他のはん用機械・同部分品製造業","57.0","699.0","570.0","129.0","604.0","500.0","104.0","474.0","432.0","42.0"
"　　　26 生産用機械器具製造業","209.0","4185.0","3348.0","837.0","3798.0","3053.0","745.0","3192.0","2758.0","434.0"
"　　　　260 管理，補助的経済活動を行う事業所","3.0","5.0","2.0","3.0","3.0","2.0","1.0","3.0","2.0","1.0"
"　　　　261 農業用機械製造業(農業用器具を除く)","11.0","209.0","168.0","41.0","189.0","151.0","38.0","161.0","142.0","19.0"
"　　　　262 建設機械・鉱山機械製造業","3.0","155.0","144.0","11.0","154.0","143.0","11.0","111.0","110.0","1.0"
"　　　　263 繊維機械製造業","32.0","1746.0","1335.0","411.0","1667.0","1269.0","398.0","1455.0","1199.0","256.0"
"　　　　264 生活関連産業用機械製造業","33.0","629.0","526.0","103.0","566.0","481.0","85.0","405.0","367.0","38.0"
"　　　　265 基礎素材産業用機械製造業","23.0","268.0","233.0","35.0","233.0","204.0","29.0","225.0","199.0","26.0"
"　　　　266 金属加工機械製造業","55.0","626.0","518.0","108.0","526.0","444.0","82.0","481.0","419.0","62.0"
"　　　　267 半導体・フラットパネルディスプレイ製造装置製造業","3.0","54.0","39.0","15.0","42.0","32.0","10.0","35.0","31.0","4.0"
"　　　　269 その他の生産用機械・同部分品製造業","46.0","493.0","383.0","110.0","418.0","327.0","91.0","316.0","289.0","27.0"
"　　　27 業務用機械器具製造業","30.0","1262.0","826.0","436.0","1203.0","785.0","418.0","871.0","748.0","123.0"
"　　　　270 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　271 事務用機械器具製造業","7.0","377.0","244.0","133.0","349.0","226.0","123.0","248.0","213.0","35.0"
