"産業中分類","総数(経営組織)事業所数","総数(経営組織)従業者数 (注)","総数(経営組織)従業者数 (注)_男","総数(経営組織)従業者数 (注)_女","総数(経営組織)従業者数 (注)_個人業主 (注)","総数(経営組織)従業者数 (注)_個人業主 (注)_男","総数(経営組織)従業者数 (注)_個人業主 (注)_女","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_男","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_女","総数(経営組織)従業者数 (注)_有給役員(注)","総数(経営組織)従業者数 (注)_有給役員(注)_男","総数(経営組織)従業者数 (注)_有給役員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)_男","総数(経営組織)従業者数 (注)_正社員・正職員(注)_正社員・正職員以外 (注)_女","総数(経営組織)従業者数 (注)_臨時雇用者 (注)","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_男","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_個人業主 (注)","個人_従業者数(注)_個人業主 (注)_男","個人_従業者数(注)_個人業主 (注)_女","個人_従業者数(注)_無給の家族従業者(注)","個人_従業者数(注)_無給の家族従業者(注)_男","個人_従業者数(注)_無給の家族従業者(注)_女","個人_従業者数(注)_常用雇用者(注)","個人_従業者数(注)_常用雇用者(注)_男","個人_従業者数(注)_常用雇用者(注)_女","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_男","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_女","個人_従業者数(注)_臨時雇用者(注)","個人_従業者数(注)_臨時雇用者(注)_男","個人_従業者数(注)_臨時雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_有給役員(注)","法人_従業者数(注)_有給役員(注)_男","法人_従業者数(注)_有給役員(注)_女","法人_従業者数(注)_常用雇用者 (注)","法人_従業者数(注)_常用雇用者 (注)_男","法人_従業者数(注)_常用雇用者 (注)_女","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人_従業者数(注)_臨時雇用者(注)","法人_従業者数(注)_臨時雇用者(注)_男","法人_従業者数(注)_臨時雇用者(注)_女","会社_事業所数","会社_従業者数(注)","会社_従業者数(注)_男","会社_従業者数(注)_女","会社_従業者数(注)_有給役員(注)","会社_従業者数(注)_有給役員(注)_男","会社_従業者数(注)_有給役員(注)_女","会社_従業者数(注)_常用雇用者 (注)","会社_従業者数(注)_常用雇用者 (注)_男","会社_従業者数(注)_常用雇用者 (注)_女","会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社_従業者数(注)_臨時雇用者(注)","会社_従業者数(注)_臨時雇用者(注)_男","会社_従業者数(注)_臨時雇用者(注)_女","株式・有限・相互会社_事業所数","株式・有限・相互会社_従業者数(注)","株式・有限・相互会社_従業者数(注)_男","株式・有限・相互会社_従業者数(注)_女","株式・有限・相互会社_従業者数(注)_有給役員(注)","株式・有限・相互会社_従業者数(注)_有給役員(注)_男","株式・有限・相互会社_従業者数(注)_有給役員(注)_女","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_男","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_女","株式・有限・相互会社_常用雇用者 (注)_従業者数(注)うち正社員・正職員 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","株式・有限・相互会社_従業者数(注)常用雇用者 (注)うち正社員・正職員 (注)_女","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_男","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_女","合名・合資会社_事業所数","合名・合資会社_従業者数(注)","合名・合資会社_従業者数(注)_男","合名・合資会社_従業者数(注)_女","株合名・合資会社_従業者数(注)_有給役員(注)","合名・合資会社_従業者数(注)_有給役員(注)_男","合名・合資会社_従業者数(注)_有給役員(注)_女","合名・合資会社_従業者数(注)_常用雇用者 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_女","合名・合資会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合名・合資会社_従業者数(注)_臨時雇用者(注)","合名・合資会社_従業者数(注)_臨時雇用者(注)_男","合名・合資会社_従業者数(注)_臨時雇用者(注)_女","合同会社_事業所数","合同会社_従業者数(注)","合同会社_従業者数(注)_男","合同会社_従業者数(注)_女","合同会社_従業者数(注)_有給役員(注)","合同会社_従業者数(注)_有給役員(注)_男","合同会社_従業者数(注)_有給役員(注)_女","合同会社_従業者数(注)_常用雇用者 (注)","合同会社_従業者数(注)_常用雇用者 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_女","合同会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合同会社_従業者数(注)_臨時雇用者(注)","合同会社_従業者数(注)_臨時雇用者(注)_男","合同会社_従業者数(注)_臨時雇用者(注)_女","外国の会社_事業所数","外国の会社_従業者数(注)","外国の会社_従業者数(注)_男","外国の会社_従業者数(注)_女","外国の会社_従業者数(注)_有給役員(注)","外国の会社_従業者数(注)_有給役員(注)_男","外国の会社_従業者数(注)_有給役員(注)_女","外国の会社_従業者数(注)_常用雇用者 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_女","外国の会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","外国の会社_従業者数(注)_臨時雇用者(注)","外国の会社_従業者数(注)_臨時雇用者(注)_男","外国の会社_従業者数(注)_臨時雇用者(注)_女","会社以外の法人_事業所数","会社以外の法人_従業者数(注)","会社以外の法人_従業者数(注)_男","会社以外の法人_従業者数(注)_女","会社以外の法人_従業者数(注)_有給役員(注)","会社以外の法人_従業者数(注)_有給役員(注)_男","会社以外の法人_従業者数(注)_有給役員(注)_女","会社以外の法人_従業者数(注)_常用雇用者 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_女","会社以外の法人_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社以外の法人_従業者数(注)_臨時雇用者(注)","会社以外の法人_従業者数(注)_臨時雇用者(注)_男","会社以外の法人_従業者数(注)_臨時雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_有給役員(注)","法人でない団体_従業者数(注)_有給役員(注)_男","法人でない団体_従業者数(注)_有給役員(注)_女","法人でない団体_従業者数(注)_常用雇用者 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_女","法人でない団体_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人でない団体_従業者数(注)_臨時雇用者(注)","法人でない団体_従業者数(注)_臨時雇用者(注)_男","法人でない団体_従業者数(注)_臨時雇用者(注)_女"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業","27.0","191.0","109.0","82.0","15.0","14.0","1.0","9.0","-","9.0","16.0","14.0","2.0","144.0","79.0","65.0","110.0","68.0","42.0","34.0","11.0","23.0","7.0","2.0","5.0","15.0","46.0","18.0","28.0","15.0","14.0","1.0","9.0","-","9.0","19.0","4.0","15.0","8.0","3.0","5.0","3.0","-","3.0","12.0","145.0","91.0","54.0","16.0","14.0","2.0","125.0","75.0","50.0","102.0","65.0","37.0","4.0","2.0","2.0","10.0","131.0","79.0","52.0","14.0","12.0","2.0","113.0","65.0","48.0","94.0","59.0","35.0","4.0","2.0","2.0","10.0","131.0","79.0","52.0","14.0","12.0","2.0","113.0","65.0","48.0","94.0","59.0","35.0","4.0","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","14.0","12.0","2.0","2.0","2.0","-","12.0","10.0","2.0","8.0","6.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業","152.0","1768.0","1482.0","286.0","28.0","25.0","3.0","17.0","4.0","13.0","178.0","117.0","61.0","1454.0","1251.0","203.0","1248.0","1120.0","128.0","206.0","131.0","75.0","91.0","85.0","6.0","29.0","102.0","66.0","36.0","28.0","25.0","3.0","17.0","4.0","13.0","46.0","27.0","19.0","31.0","22.0","9.0","11.0","10.0","1.0","122.0","1654.0","1406.0","248.0","178.0","117.0","61.0","1406.0","1224.0","182.0","1215.0","1098.0","117.0","70.0","65.0","5.0","117.0","1611.0","1368.0","243.0","173.0","112.0","61.0","1371.0","1194.0","177.0","1186.0","1071.0","115.0","67.0","62.0","5.0","116.0","1605.0","1364.0","241.0","170.0","111.0","59.0","1370.0","1193.0","177.0","1185.0","1070.0","115.0","65.0","60.0","5.0","1.0","6.0","4.0","2.0","3.0","1.0","2.0","1.0","1.0","-","1.0","1.0","-","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.0","43.0","38.0","5.0","5.0","5.0","-","35.0","30.0","5.0","29.0","27.0","2.0","3.0","3.0","-","1.0","12.0","10.0","2.0","-","-","-","2.0","-","2.0","2.0","-","2.0","10.0","10.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業","82.0","4629.0","4398.0","231.0","24.0","24.0","-","11.0","1.0","10.0","95.0","69.0","26.0","4289.0","4098.0","191.0","4029.0","3874.0","155.0","260.0","224.0","36.0","210.0","206.0","4.0","24.0","60.0","45.0","15.0","24.0","24.0","-","11.0","1.0","10.0","18.0","13.0","5.0","15.0","11.0","4.0","7.0","7.0","-","58.0","4569.0","4353.0","216.0","95.0","69.0","26.0","4271.0","4085.0","186.0","4014.0","3863.0","151.0","203.0","199.0","4.0","58.0","4569.0","4353.0","216.0","95.0","69.0","26.0","4271.0","4085.0","186.0","4014.0","3863.0","151.0","203.0","199.0","4.0","58.0","4569.0","4353.0","216.0","95.0","69.0","26.0","4271.0","4085.0","186.0","4014.0","3863.0","151.0","203.0","199.0","4.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業","22.0","629.0","514.0","115.0","7.0","7.0","-","-","-","-","18.0","17.0","1.0","604.0","490.0","114.0","530.0","465.0","65.0","74.0","25.0","49.0","-","-","-","7.0","16.0","14.0","2.0","7.0","7.0","-","-","-","-","9.0","7.0","2.0","7.0","6.0","1.0","-","-","-","15.0","613.0","500.0","113.0","18.0","17.0","1.0","595.0","483.0","112.0","523.0","459.0","64.0","-","-","-","15.0","613.0","500.0","113.0","18.0","17.0","1.0","595.0","483.0","112.0","523.0","459.0","64.0","-","-","-","15.0","613.0","500.0","113.0","18.0","17.0","1.0","595.0","483.0","112.0","523.0","459.0","64.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業","339.0","4662.0","3880.0","782.0","127.0","126.0","1.0","43.0","9.0","34.0","367.0","262.0","105.0","4045.0","3422.0","623.0","3470.0","3131.0","339.0","575.0","291.0","284.0","80.0","61.0","19.0","128.0","453.0","338.0","115.0","127.0","126.0","1.0","43.0","9.0","34.0","256.0","182.0","74.0","194.0","156.0","38.0","27.0","21.0","6.0","211.0","4209.0","3542.0","667.0","367.0","262.0","105.0","3789.0","3240.0","549.0","3276.0","2975.0","301.0","53.0","40.0","13.0","207.0","4167.0","3501.0","666.0","364.0","259.0","105.0","3750.0","3202.0","548.0","3247.0","2947.0","300.0","53.0","40.0","13.0","206.0","4163.0","3497.0","666.0","363.0","258.0","105.0","3747.0","3199.0","548.0","3244.0","2944.0","300.0","53.0","40.0","13.0","1.0","4.0","4.0","-","1.0","1.0","-","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.0","42.0","41.0","1.0","3.0","3.0","-","39.0","38.0","1.0","29.0","28.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　25 はん用機械器具製造業","93.0","2580.0","2154.0","426.0","26.0","26.0","-","15.0","3.0","12.0","99.0","79.0","20.0","2402.0","2021.0","381.0","1770.0","1612.0","158.0","632.0","409.0","223.0","38.0","25.0","13.0","26.0","76.0","43.0","33.0","26.0","26.0","-","15.0","3.0","12.0","24.0","11.0","13.0","19.0","11.0","8.0","11.0","3.0","8.0","67.0","2504.0","2111.0","393.0","99.0","79.0","20.0","2378.0","2010.0","368.0","1751.0","1601.0","150.0","27.0","22.0","5.0","67.0","2504.0","2111.0","393.0","99.0","79.0","20.0","2378.0","2010.0","368.0","1751.0","1601.0","150.0","27.0","22.0","5.0","67.0","2504.0","2111.0","393.0","99.0","79.0","20.0","2378.0","2010.0","368.0","1751.0","1601.0","150.0","27.0","22.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業","209.0","4185.0","3348.0","837.0","58.0","56.0","2.0","21.0","7.0","14.0","273.0","200.0","73.0","3798.0","3053.0","745.0","3192.0","2758.0","434.0","606.0","295.0","311.0","35.0","32.0","3.0","64.0","159.0","124.0","35.0","58.0","56.0","2.0","21.0","7.0","14.0","78.0","59.0","19.0","69.0","55.0","14.0","2.0","2.0","-","145.0","4026.0","3224.0","802.0","273.0","200.0","73.0","3720.0","2994.0","726.0","3123.0","2703.0","420.0","33.0","30.0","3.0","145.0","4026.0","3224.0","802.0","273.0","200.0","73.0","3720.0","2994.0","726.0","3123.0","2703.0","420.0","33.0","30.0","3.0","144.0","4016.0","3215.0","801.0","272.0","199.0","73.0","3713.0","2988.0","725.0","3116.0","2697.0","419.0","31.0","28.0","3.0","1.0","10.0","9.0","1.0","1.0","1.0","-","7.0","6.0","1.0","7.0","6.0","1.0","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業","30.0","1262.0","826.0","436.0","7.0","7.0","-","2.0","-","2.0","40.0","32.0","8.0","1203.0","785.0","418.0","871.0","748.0","123.0","332.0","37.0","295.0","10.0","2.0","8.0","7.0","24.0","12.0","12.0","7.0","7.0","-","2.0","-","2.0","14.0","4.0","10.0","6.0","4.0","2.0","1.0","1.0","-","23.0","1238.0","814.0","424.0","40.0","32.0","8.0","1189.0","781.0","408.0","865.0","744.0","121.0","9.0","1.0","8.0","23.0","1238.0","814.0","424.0","40.0","32.0","8.0","1189.0","781.0","408.0","865.0","744.0","121.0","9.0","1.0","8.0","23.0","1238.0","814.0","424.0","40.0","32.0","8.0","1189.0","781.0","408.0","865.0","744.0","121.0","9.0","1.0","8.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業","17.0","954.0","611.0","343.0","4.0","4.0","-","1.0","-","1.0","29.0","24.0","5.0","907.0","582.0","325.0","681.0","483.0","198.0","226.0","99.0","127.0","13.0","1.0","12.0","4.0","54.0","14.0","40.0","4.0","4.0","-","1.0","-","1.0","39.0","10.0","29.0","17.0","9.0","8.0","10.0","-","10.0","13.0","900.0","597.0","303.0","29.0","24.0","5.0","868.0","572.0","296.0","664.0","474.0","190.0","3.0","1.0","2.0","13.0","900.0","597.0","303.0","29.0","24.0","5.0","868.0","572.0","296.0","664.0","474.0","190.0","3.0","1.0","2.0","13.0","900.0","597.0","303.0","29.0","24.0","5.0","868.0","572.0","296.0","664.0","474.0","190.0","3.0","1.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業","68.0","2078.0","1453.0","625.0","12.0","11.0","1.0","5.0","-","5.0","77.0","57.0","20.0","1967.0","1376.0","591.0","1531.0","1220.0","311.0","436.0","156.0","280.0","17.0","9.0","8.0","12.0","60.0","19.0","41.0","12.0","11.0","1.0","5.0","-","5.0","40.0","8.0","32.0","5.0","4.0","1.0","3.0","-","3.0","56.0","2018.0","1434.0","584.0","77.0","57.0","20.0","1927.0","1368.0","559.0","1526.0","1216.0","310.0","14.0","9.0","5.0","56.0","2018.0","1434.0","584.0","77.0","57.0","20.0","1927.0","1368.0","559.0","1526.0","1216.0","310.0","14.0","9.0","5.0","56.0","2018.0","1434.0","584.0","77.0","57.0","20.0","1927.0","1368.0","559.0","1526.0","1216.0","310.0","14.0","9.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　30 情報通信機械器具製造業","7.0","330.0","185.0","145.0","1.0","1.0","-","-","-","-","7.0","3.0","4.0","321.0","181.0","140.0","281.0","175.0","106.0","40.0","6.0","34.0","1.0","-","1.0","1.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","6.0","329.0","184.0","145.0","7.0","3.0","4.0","321.0","181.0","140.0","281.0","175.0","106.0","1.0","-","1.0","6.0","329.0","184.0","145.0","7.0","3.0","4.0","321.0","181.0","140.0","281.0","175.0","106.0","1.0","-","1.0","6.0","329.0","184.0","145.0","7.0","3.0","4.0","321.0","181.0","140.0","281.0","175.0","106.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業","69.0","873.0","688.0","185.0","38.0","38.0","-","14.0","5.0","9.0","63.0","47.0","16.0","717.0","576.0","141.0","594.0","524.0","70.0","123.0","52.0","71.0","41.0","22.0","19.0","38.0","91.0","61.0","30.0","38.0","38.0","-","14.0","5.0","9.0","36.0","15.0","21.0","23.0","15.0","8.0","3.0","3.0","-","31.0","782.0","627.0","155.0","63.0","47.0","16.0","681.0","561.0","120.0","571.0","509.0","62.0","38.0","19.0","19.0","31.0","782.0","627.0","155.0","63.0","47.0","16.0","681.0","561.0","120.0","571.0","509.0","62.0","38.0","19.0","19.0","31.0","782.0","627.0","155.0","63.0","47.0","16.0","681.0","561.0","120.0","571.0","509.0","62.0","38.0","19.0","19.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業","360.0","2334.0","1347.0","987.0","226.0","215.0","11.0","97.0","18.0","79.0","208.0","143.0","65.0","1684.0","924.0","760.0","1153.0","788.0","365.0","531.0","136.0","395.0","119.0","47.0","72.0","232.0","629.0","371.0","258.0","226.0","215.0","11.0","97.0","18.0","79.0","237.0","109.0","128.0","150.0","83.0","67.0","69.0","29.0","40.0","127.0","1690.0","975.0","715.0","208.0","143.0","65.0","1442.0","814.0","628.0","1003.0","705.0","298.0","40.0","18.0","22.0","125.0","1610.0","914.0","696.0","207.0","142.0","65.0","1363.0","754.0","609.0","928.0","647.0","281.0","40.0","18.0","22.0","124.0","1602.0","908.0","694.0","203.0","140.0","63.0","1359.0","750.0","609.0","924.0","643.0","281.0","40.0","18.0","22.0","1.0","8.0","6.0","2.0","4.0","2.0","2.0","4.0","4.0","-","4.0","4.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","80.0","61.0","19.0","1.0","1.0","-","79.0","60.0","19.0","75.0","58.0","17.0","-","-","-","1.0","15.0","1.0","14.0","-","-","-","5.0","1.0","4.0","-","-","-","10.0","-","10.0"
"　C～R 非農林漁業(S公務を除く)_　　　EZ 製造業 内格付不能_","32.0","939.0","874.0","65.0","15.0","14.0","1.0","11.0","4.0","7.0","19.0","15.0","4.0","878.0","834.0","44.0","842.0","815.0","27.0","36.0","19.0","17.0","16.0","7.0","9.0","15.0","42.0","26.0","16.0","15.0","14.0","1.0","11.0","4.0","7.0","13.0","7.0","6.0","7.0","6.0","1.0","3.0","1.0","2.0","16.0","895.0","847.0","48.0","18.0","14.0","4.0","864.0","827.0","37.0","835.0","809.0","26.0","13.0","6.0","7.0","16.0","895.0","847.0","48.0","18.0","14.0","4.0","864.0","827.0","37.0","835.0","809.0","26.0","13.0","6.0","7.0","15.0","893.0","846.0","47.0","17.0","13.0","4.0","863.0","827.0","36.0","834.0","809.0","25.0","13.0","6.0","7.0","1.0","2.0","1.0","1.0","1.0","1.0","-","1.0","-","1.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","2.0","1.0","1.0","1.0","1.0","-","1.0","-","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_","37.0","1625.0","1539.0","86.0","-","-","-","-","-","-","21.0","20.0","1.0","1602.0","1518.0","84.0","1574.0","1500.0","74.0","28.0","18.0","10.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","37.0","1625.0","1539.0","86.0","21.0","20.0","1.0","1602.0","1518.0","84.0","1574.0","1500.0","74.0","2.0","1.0","1.0","32.0","1597.0","1514.0","83.0","18.0","17.0","1.0","1577.0","1496.0","81.0","1553.0","1479.0","74.0","2.0","1.0","1.0","32.0","1597.0","1514.0","83.0","18.0","17.0","1.0","1577.0","1496.0","81.0","1553.0","1479.0","74.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.0","28.0","25.0","3.0","3.0","3.0","-","25.0","22.0","3.0","21.0","21.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　33 電気業","25.0","1471.0","1405.0","66.0","-","-","-","-","-","-","4.0","4.0","-","1467.0","1401.0","66.0","1449.0","1388.0","61.0","18.0","13.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.0","1471.0","1405.0","66.0","4.0","4.0","-","1467.0","1401.0","66.0","1449.0","1388.0","61.0","-","-","-","25.0","1471.0","1405.0","66.0","4.0","4.0","-","1467.0","1401.0","66.0","1449.0","1388.0","61.0","-","-","-","25.0","1471.0","1405.0","66.0","4.0","4.0","-","1467.0","1401.0","66.0","1449.0","1388.0","61.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
