"産業中分類，従業者規模","事業所数","事業所数_他への出向・派遣 _有","事業所数_他への出向・派遣 _無","事業所数_他からの出向・派遣 (注2)_出向又は派遣_有 ","事業所数_他からの出向・派遣 (注2)_出向又は派遣_無","事業所数_他からの出向・派遣 (注2)_出向_有","事業所数_他からの出向・派遣 (注2)_出向_無","事業所数_他からの出向・派遣 (注2)_派遣_有","事業所数_他からの出向・派遣 (注2)_派遣_無","従業者数(人) ","従業者数(人) _男","従業者数(人) _女","従業者数(人) _うち他への出向・派遣従業者数","従業者数(人) _うち他への出向・派遣従業者数_男","従業者数(人) _うち他への出向・派遣従業者数_女","他からの出向・派遣従業者数","他からの出向・派遣従業者数_男 ","他からの出向・派遣従業者数_女 ","他からの出向・派遣従業者数_出向 ","他からの出向・派遣従業者数_出向 _男","他からの出向・派遣従業者数_出向 _女","他からの出向・派遣従業者数_派遣 ","他からの出向・派遣従業者数_派遣 _男","他からの出向・派遣従業者数_派遣 _女"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業","209.0","5.0","204.0","10.0","199.0","3.0","206.0","9.0","200.0","4185.0","3348.0","837.0","106.0","59.0","47.0","107.0","79.0","28.0","10.0","9.0","1.0","97.0","70.0","27.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業","30.0","1.0","29.0","5.0","25.0","2.0","28.0","3.0","27.0","1262.0","826.0","436.0","22.0","19.0","3.0","66.0","25.0","41.0","5.0","5.0","-","60.0","20.0","40.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業","17.0","1.0","16.0","4.0","13.0","-","17.0","4.0","13.0","954.0","611.0","343.0","1.0","1.0","-","39.0","32.0","7.0","-","-","-","39.0","32.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業","68.0","5.0","63.0","5.0","63.0","3.0","65.0","2.0","66.0","2078.0","1453.0","625.0","29.0","29.0","-","7.0","6.0","1.0","4.0","4.0","-","3.0","2.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　30 情報通信機械器具製造業","7.0","-","7.0","3.0","4.0","2.0","5.0","2.0","5.0","330.0","185.0","145.0","-","-","-","18.0","9.0","9.0","3.0","3.0","-","9.0","1.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業","69.0","2.0","67.0","4.0","65.0","2.0","67.0","2.0","67.0","873.0","688.0","185.0","5.0","4.0","1.0","27.0","27.0","-","11.0","11.0","-","16.0","16.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業","360.0","1.0","359.0","6.0","354.0","2.0","358.0","2.0","358.0","2334.0","1347.0","987.0","1.0","1.0","-","12.0","2.0","10.0","6.0","1.0","5.0","3.0","1.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　　EZ 製造業 内格付不能_","32.0","-","32.0","3.0","29.0","1.0","31.0","2.0","30.0","939.0","874.0","65.0","-","-","-","29.0","19.0","10.0","1.0","1.0","-","28.0","18.0","10.0"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_","37.0","2.0","35.0","8.0","29.0","7.0","30.0","2.0","35.0","1625.0","1539.0","86.0","5.0","4.0","1.0","23.0","17.0","6.0","15.0","14.0","1.0","8.0","3.0","5.0"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　33 電気業","25.0","1.0","24.0","3.0","22.0","2.0","23.0","2.0","23.0","1471.0","1405.0","66.0","4.0","4.0","-","15.0","10.0","5.0","7.0","7.0","-","8.0","3.0","5.0"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　34 ガス業","3.0","-","3.0","1.0","2.0","1.0","2.0","-","3.0","95.0","83.0","12.0","-","-","-","1.0","1.0","-","1.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　35 熱供給業","1.0","-","1.0","-","1.0","-","1.0","-","1.0","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　36 水道業","8.0","1.0","7.0","4.0","4.0","4.0","4.0","-","8.0","56.0","48.0","8.0","1.0","-","1.0","7.0","6.0","1.0","7.0","6.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　FZ 電気・ガス・熱供給・水道業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_","267.0","8.0","259.0","29.0","238.0","18.0","249.0","16.0","251.0","3291.0","1823.0","1378.0","169.0","141.0","28.0","209.0","158.0","51.0","133.0","115.0","18.0","76.0","43.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　37 通信業","34.0","1.0","33.0","6.0","28.0","4.0","30.0","3.0","31.0","466.0","276.0","190.0","149.0","130.0","19.0","54.0","47.0","7.0","45.0","44.0","1.0","9.0","3.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　38 放送業","18.0","-","18.0","4.0","14.0","1.0","17.0","4.0","14.0","415.0","230.0","95.0","-","-","-","47.0","33.0","14.0","24.0","20.0","4.0","23.0","13.0","10.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　39 情報サービス業","123.0","6.0","117.0","17.0","106.0","13.0","110.0","7.0","116.0","1587.0","815.0","772.0","12.0","11.0","1.0","103.0","76.0","27.0","64.0","51.0","13.0","39.0","25.0","14.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　40 インターネット附随サービス業","11.0","-","11.0","-","11.0","-","11.0","-","11.0","87.0","53.0","34.0","-","-","-","-","-","-","-","-","-","-","-","-"
