"産業中分類","総数(単独・本所・支所)_事業所数","総数(単独・本所・支所)_従業者数(人)","総数(単独・本所・支所)_売上(収入)金額(百万円)","単独事業所_事業所数","単独事業所_従業者数(人)","単独事業所_売上(収入)金額(百万円)","本所・本社・本店_事業所数","本所・本社・本店_従業者数(人)","本所・本社・本店_売上(収入)金額(百万円)","支所・支社・支店_事業所数","支所・支社・支店_従業者数(人)","支所・支社・支店_売上(収入)金額(百万円)"
"D 建設業_　　　08 設備工事業","864.0","6233.0","...","694.0","3428.0","41558.0","37.0","746.0","...","133.0","2059.0","..."
"　DZ 建設業 内格付不能_","64.0","287.0","...","55.0","234.0","2950.0","4.0","25.0","...","5.0","28.0","..."
"E 製造業_","3877.0","57626.0","3012528.0","3273.0","30242.0","862621.0","256.0","11620.0","264178.0","348.0","15764.0","1885729.0"
"E 製造業_　　　09 食料品製造業","697.0","9886.0","136352.0","590.0","6374.0","79122.0","60.0","1913.0","34047.0","47.0","1599.0","23183.0"
"E 製造業_　　　10 飲料・たばこ・飼料製造業","61.0","1443.0","65173.0","53.0","1210.0","56718.0","5.0","165.0","6928.0","3.0","68.0","1528.0"
"E 製造業_　　　11 繊維工業","659.0","5641.0","76485.0","594.0","4086.0","41135.0","35.0","1131.0","24825.0","30.0","424.0","10525.0"
"E 製造業_　　　12 木材・木製品製造業(家具を除く)","253.0","1677.0","34750.0","222.0","1162.0","16375.0","15.0","291.0","8859.0","16.0","224.0","9516.0"
"E 製造業_　　　13 家具・装備品製造業","340.0","1910.0","19264.0","329.0","1690.0","14672.0","7.0","142.0","3248.0","4.0","78.0","1344.0"
"E 製造業_　　　14 パルプ・紙・紙加工品製造業","57.0","806.0","20486.0","43.0","377.0","7995.0","6.0","121.0","1461.0","8.0","308.0","11030.0"
"E 製造業_　　　15 印刷・同関連業","195.0","1891.0","18700.0","181.0","1126.0","10850.0","8.0","665.0","6323.0","6.0","100.0","1528.0"
"E 製造業_　　　16 化学工業","104.0","4915.0","323649.0","58.0","1244.0","36064.0","15.0","584.0","24030.0","31.0","3087.0","263555.0"
"E 製造業_　　　17 石油製品・石炭製品製造業","21.0","1032.0","774584.0","10.0","304.0","45391.0","-","-","-","11.0","728.0","729193.0"
"E 製造業_　　　18 プラスチック製品製造業(別掲を除く)","127.0","2049.0","47915.0","105.0","1160.0","13029.0","9.0","317.0","8964.0","13.0","572.0","25922.0"
"E 製造業_　　　19 ゴム製品製造業","21.0","1148.0","18914.0","14.0","404.0","4182.0","2.0","118.0","X","5.0","626.0","X"
"E 製造業_　　　20 なめし革・同製品・毛皮製造業","24.0","162.0","1569.0","23.0","117.0","X","-","-","-","1.0","45.0","X"
"E 製造業_　　　21 窯業・土石製品製造業","141.0","1528.0","48222.0","88.0","825.0","19295.0","17.0","135.0","1684.0","36.0","568.0","27242.0"
"E 製造業_　　　22 鉄鋼業","72.0","4000.0","877502.0","47.0","1573.0","393783.0","7.0","412.0","22481.0","18.0","2015.0","461238.0"
"E 製造業_　　　23 非鉄金属製造業","16.0","512.0","38217.0","10.0","150.0","4250.0","3.0","226.0","4185.0","3.0","136.0","29782.0"
"E 製造業_　　　24 金属製品製造業","303.0","4374.0","94985.0","254.0","2516.0","37178.0","18.0","622.0","13652.0","31.0","1236.0","44155.0"
"E 製造業_　　　25 はん用機械器具製造業","78.0","2485.0","200595.0","53.0","506.0","7132.0","7.0","662.0","15379.0","18.0","1317.0","178083.0"
"E 製造業_　　　26 生産用機械器具製造業","187.0","3888.0","87446.0","154.0","1742.0","22477.0","15.0","1817.0","54546.0","18.0","329.0","10423.0"
"E 製造業_　　　27 業務用機械器具製造業","24.0","1213.0","18807.0","14.0","261.0","3272.0","3.0","741.0","12272.0","7.0","211.0","3262.0"
"E 製造業_　　　28 電子部品・デバイス・電子回路製造業","17.0","954.0","14178.0","11.0","370.0","5199.0","4.0","501.0","X","2.0","83.0","X"
"E 製造業_　　　29 電気機械器具製造業","60.0","1810.0","44410.0","47.0","790.0","17691.0","3.0","217.0","2180.0","10.0","803.0","24539.0"
"E 製造業_　　　30 情報通信機械器具製造業","6.0","324.0","2608.0","4.0","21.0","X","1.0","240.0","X","1.0","63.0","X"
"E 製造業_　　　31 輸送用機械器具製造業","63.0","862.0","15609.0","56.0","778.0","14378.0","1.0","39.0","X","6.0","45.0","X"
"E 製造業_　　　32 その他の製造業","320.0","2179.0","25559.0","291.0","1351.0","10476.0","14.0","559.0","7326.0","15.0","269.0","7757.0"
"　EZ 製造業 内格付不能_","31.0","937.0","6549.0","22.0","105.0","645.0","1.0","2.0","X","8.0","830.0","X"
"F 電気・ガス・熱供給・水道業_","31.0","1590.0","...","4.0","139.0","28408.0","2.0","6.0","...","25.0","1445.0","..."
"F 電気・ガス・熱供給・水道業_　　　33 電気業","21.0","1458.0","...","2.0","111.0","X","-","-","...","19.0","1347.0","..."
"F 電気・ガス・熱供給・水道業_　　　34 ガス業","2.0","93.0","...","1.0","27.0","X","-","-","...","1.0","66.0","..."
