"産業大分類・県，市町村","事業所数","従業者数（注）","従業者数（注）_男","従業者数（注）_女"
"橋本市_　　J 金融業，保険業","45.0","545.0","239.0","306.0"
"橋本市_　　K 不動産業，物品賃貸業","167.0","397.0","205.0","192.0"
"橋本市_　　L 学術研究，専門・技術サービス業","73.0","250.0","170.0","80.0"
"橋本市_　　M 宿泊業，飲食サービス業","287.0","1734.0","564.0","1125.0"
"橋本市_　　N 生活関連サービス業，娯楽業","246.0","1217.0","493.0","724.0"
"橋本市_　　O 教育，学習支援業","124.0","928.0","478.0","450.0"
"橋本市_　　P 医療，福祉","197.0","3094.0","777.0","2317.0"
"橋本市_　　Q 複合サービス事業","15.0","177.0","100.0","77.0"
"橋本市_　　R サービス業(他に分類されないもの)","174.0","998.0","612.0","386.0"
"有田市_A～R 全産業(S公務を除く)","1795.0","10994.0","6011.0","4961.0"
"有田市_　A～B 農林漁業","8.0","148.0","85.0","63.0"
"有田市_　　A 農業，林業","8.0","148.0","85.0","63.0"
"有田市_　　B 漁業","-","-","-","-"
"有田市_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"有田市_　C～R 非農林漁業(S公務を除く)","1787.0","10846.0","5926.0","4898.0"
"有田市_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"有田市_　　D 建設業","207.0","1294.0","1090.0","204.0"
"有田市_　　E 製造業","150.0","2434.0","1478.0","956.0"
"有田市_　　F 電気・ガス・熱供給・水道業","1.0","17.0","17.0","-"
"有田市_　　G 情報通信業","2.0","10.0","4.0","6.0"
"有田市_　　H 運輸業，郵便業","34.0","434.0","369.0","65.0"
"有田市_　　I 卸売業，小売業","514.0","2398.0","1083.0","1315.0"
"有田市_　　J 金融業，保険業","25.0","280.0","93.0","187.0"
"有田市_　　K 不動産業，物品賃貸業","219.0","333.0","206.0","127.0"
"有田市_　　L 学術研究，専門・技術サービス業","38.0","379.0","305.0","74.0"
"有田市_　　M 宿泊業，飲食サービス業","159.0","713.0","198.0","493.0"
"有田市_　　N 生活関連サービス業，娯楽業","151.0","463.0","196.0","267.0"
"有田市_　　O 教育，学習支援業","72.0","199.0","65.0","134.0"
"有田市_　　P 医療，福祉","85.0","1137.0","295.0","842.0"
"有田市_　　Q 複合サービス事業","9.0","90.0","55.0","35.0"
"有田市_　　R サービス業(他に分類されないもの)","121.0","665.0","472.0","193.0"
"御坊市_A～R 全産業(S公務を除く)","1965.0","12087.0","6113.0","5944.0"
"御坊市_　A～B 農林漁業","9.0","48.0","27.0","21.0"
"御坊市_　　A 農業，林業","9.0","48.0","27.0","21.0"
"御坊市_　　B 漁業","-","-","-","-"
"御坊市_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"御坊市_　C～R 非農林漁業(S公務を除く)","1956.0","12039.0","6086.0","5923.0"
"御坊市_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"御坊市_　　D 建設業","171.0","850.0","700.0","150.0"
"御坊市_　　E 製造業","118.0","1359.0","897.0","462.0"
"御坊市_　　F 電気・ガス・熱供給・水道業","2.0","135.0","132.0","3.0"
"御坊市_　　G 情報通信業","10.0","98.0","61.0","37.0"
"御坊市_　　H 運輸業，郵便業","25.0","452.0","389.0","63.0"
"御坊市_　　I 卸売業，小売業","615.0","3368.0","1538.0","1830.0"
"御坊市_　　J 金融業，保険業","33.0","388.0","138.0","250.0"
"御坊市_　　K 不動産業，物品賃貸業","109.0","185.0","108.0","77.0"
"御坊市_　　L 学術研究，専門・技術サービス業","76.0","337.0","245.0","92.0"
"御坊市_　　M 宿泊業，飲食サービス業","262.0","1478.0","495.0","953.0"
"御坊市_　　N 生活関連サービス業，娯楽業","185.0","609.0","273.0","336.0"
"御坊市_　　O 教育，学習支援業","70.0","341.0","186.0","155.0"
"御坊市_　　P 医療，福祉","127.0","1683.0","437.0","1246.0"
"御坊市_　　Q 複合サービス事業","14.0","191.0","121.0","70.0"
"御坊市_　　R サービス業(他に分類されないもの)","139.0","565.0","366.0","199.0"
"田辺市_A～R 全産業(S公務を除く)","5349.0","32170.0","16489.0","15544.0"
"田辺市_　A～B 農林漁業","18.0","253.0","220.0","33.0"
"田辺市_　　A 農業，林業","15.0","241.0","212.0","29.0"
"田辺市_　　B 漁業","2.0","4.0","4.0","-"
"田辺市_　　@ 農業，林業，漁業 間格付不能","1.0","8.0","4.0","4.0"
"田辺市_　C～R 非農林漁業(S公務を除く)","5331.0","31917.0","16269.0","15511.0"
"田辺市_　　C 鉱業，採石業，砂利採取業","1.0","7.0","5.0","2.0"
"田辺市_　　D 建設業","504.0","2590.0","2187.0","403.0"
"田辺市_　　E 製造業","407.0","3485.0","1742.0","1743.0"
"田辺市_　　F 電気・ガス・熱供給・水道業","3.0","198.0","190.0","8.0"
"田辺市_　　G 情報通信業","34.0","339.0","129.0","120.0"
"田辺市_　　H 運輸業，郵便業","81.0","1380.0","1200.0","180.0"
"田辺市_　　I 卸売業，小売業","1522.0","7842.0","4120.0","3701.0"
"田辺市_　　J 金融業，保険業","87.0","847.0","386.0","461.0"
"田辺市_　　K 不動産業，物品賃貸業","295.0","781.0","461.0","320.0"
"田辺市_　　L 学術研究，専門・技術サービス業","164.0","734.0","491.0","243.0"
"田辺市_　　M 宿泊業，飲食サービス業","811.0","4158.0","1393.0","2741.0"
"田辺市_　　N 生活関連サービス業，娯楽業","502.0","1601.0","757.0","842.0"
"田辺市_　　O 教育，学習支援業","153.0","497.0","211.0","286.0"
"田辺市_　　P 医療，福祉","350.0","4375.0","1178.0","3197.0"
"田辺市_　　Q 複合サービス事業","68.0","817.0","541.0","276.0"
"田辺市_　　R サービス業(他に分類されないもの)","349.0","2266.0","1278.0","988.0"
"新宮市_A～R 全産業(S公務を除く)","2520.0","14660.0","7435.0","7207.0"
"新宮市_　A～B 農林漁業","8.0","36.0","30.0","6.0"
"新宮市_　　A 農業，林業","7.0","35.0","30.0","5.0"
"新宮市_　　B 漁業","1.0","1.0","-","1.0"
"新宮市_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"新宮市_　C～R 非農林漁業(S公務を除く)","2512.0","14624.0","7405.0","7201.0"
"新宮市_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"新宮市_　　D 建設業","208.0","1250.0","1063.0","187.0"
"新宮市_　　E 製造業","114.0","1108.0","703.0","405.0"
"新宮市_　　F 電気・ガス・熱供給・水道業","4.0","130.0","120.0","10.0"
"新宮市_　　G 情報通信業","18.0","117.0","89.0","28.0"
"新宮市_　　H 運輸業，郵便業","41.0","600.0","523.0","77.0"
"新宮市_　　I 卸売業，小売業","785.0","4169.0","1939.0","2212.0"
"新宮市_　　J 金融業，保険業","42.0","459.0","199.0","260.0"
"新宮市_　　K 不動産業，物品賃貸業","166.0","330.0","181.0","149.0"
"新宮市_　　L 学術研究，専門・技術サービス業","76.0","248.0","163.0","85.0"
"新宮市_　　M 宿泊業，飲食サービス業","411.0","2078.0","689.0","1389.0"
"新宮市_　　N 生活関連サービス業，娯楽業","231.0","752.0","303.0","449.0"
"新宮市_　　O 教育，学習支援業","81.0","261.0","128.0","133.0"
"新宮市_　　P 医療，福祉","160.0","2137.0","578.0","1559.0"
"新宮市_　　Q 複合サービス事業","18.0","117.0","79.0","38.0"
"新宮市_　　R サービス業(他に分類されないもの)","157.0","868.0","648.0","220.0"
"紀の川市_A～R 全産業(S公務を除く)","2363.0","19475.0","10672.0","8758.0"
"紀の川市_　A～B 農林漁業","29.0","306.0","210.0","96.0"
"紀の川市_　　A 農業，林業","28.0","280.0","186.0","94.0"
"紀の川市_　　B 漁業","1.0","26.0","24.0","2.0"
"紀の川市_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"紀の川市_　C～R 非農林漁業(S公務を除く)","2334.0","19169.0","10462.0","8662.0"
"紀の川市_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"紀の川市_　　D 建設業","252.0","1277.0","1026.0","251.0"
"紀の川市_　　E 製造業","251.0","5125.0","3707.0","1418.0"
"紀の川市_　　F 電気・ガス・熱供給・水道業","2.0","33.0","32.0","1.0"
"紀の川市_　　G 情報通信業","7.0","27.0","17.0","10.0"
"紀の川市_　　H 運輸業，郵便業","62.0","1315.0","1180.0","135.0"
"紀の川市_　　I 卸売業，小売業","669.0","4661.0","1949.0","2693.0"
"紀の川市_　　J 金融業，保険業","23.0","210.0","67.0","143.0"
"紀の川市_　　K 不動産業，物品賃貸業","61.0","184.0","109.0","75.0"
"紀の川市_　　L 学術研究，専門・技術サービス業","58.0","151.0","101.0","50.0"
"紀の川市_　　M 宿泊業，飲食サービス業","212.0","1029.0","289.0","714.0"
"紀の川市_　　N 生活関連サービス業，娯楽業","234.0","877.0","382.0","495.0"
"紀の川市_　　O 教育，学習支援業","98.0","409.0","213.0","196.0"
"紀の川市_　　P 医療，福祉","187.0","2754.0","709.0","2045.0"
"紀の川市_　　Q 複合サービス事業","26.0","354.0","196.0","158.0"
"紀の川市_　　R サービス業(他に分類されないもの)","192.0","763.0","485.0","278.0"
"岩出市_A～R 全産業(S公務を除く)","1433.0","13288.0","5734.0","7554.0"
"岩出市_　A～B 農林漁業","3.0","24.0","13.0","11.0"
"岩出市_　　A 農業，林業","2.0","16.0","10.0","6.0"
"岩出市_　　B 漁業","1.0","8.0","3.0","5.0"
"岩出市_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"岩出市_　C～R 非農林漁業(S公務を除く)","1430.0","13264.0","5721.0","7543.0"
"岩出市_　　C 鉱業，採石業，砂利採取業","3.0","44.0","40.0","4.0"
"岩出市_　　D 建設業","113.0","677.0","516.0","161.0"
"岩出市_　　E 製造業","75.0","1090.0","619.0","471.0"
"岩出市_　　F 電気・ガス・熱供給・水道業","1.0","7.0","6.0","1.0"
"岩出市_　　G 情報通信業","7.0","103.0","41.0","62.0"
"岩出市_　　H 運輸業，郵便業","19.0","760.0","377.0","383.0"
"岩出市_　　I 卸売業，小売業","391.0","3412.0","1374.0","2038.0"
"岩出市_　　J 金融業，保険業","21.0","303.0","70.0","233.0"
"岩出市_　　K 不動産業，物品賃貸業","66.0","226.0","130.0","96.0"
"岩出市_　　L 学術研究，専門・技術サービス業","58.0","326.0","229.0","97.0"
"岩出市_　　M 宿泊業，飲食サービス業","204.0","2164.0","784.0","1380.0"
"岩出市_　　N 生活関連サービス業，娯楽業","180.0","1095.0","431.0","664.0"
"岩出市_　　O 教育，学習支援業","73.0","516.0","243.0","273.0"
"岩出市_　　P 医療，福祉","130.0","2025.0","540.0","1485.0"
"岩出市_　　Q 複合サービス事業","6.0","81.0","49.0","32.0"
"岩出市_　　R サービス業(他に分類されないもの)","83.0","435.0","272.0","163.0"
"紀美野町_A～R 全産業(S公務を除く)","548.0","2898.0","1630.0","1268.0"
"紀美野町_　A～B 農林漁業","6.0","105.0","88.0","17.0"
"紀美野町_　　A 農業，林業","5.0","80.0","63.0","17.0"
"紀美野町_　　B 漁業","1.0","25.0","25.0","-"
"紀美野町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"紀美野町_　C～R 非農林漁業(S公務を除く)","542.0","2793.0","1542.0","1251.0"
"紀美野町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"紀美野町_　　D 建設業","74.0","368.0","298.0","70.0"
"紀美野町_　　E 製造業","94.0","823.0","488.0","335.0"
"紀美野町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"紀美野町_　　G 情報通信業","1.0","1.0","1.0","-"
"紀美野町_　　H 運輸業，郵便業","12.0","141.0","117.0","24.0"
"紀美野町_　　I 卸売業，小売業","173.0","503.0","234.0","269.0"
"紀美野町_　　J 金融業，保険業","5.0","18.0","9.0","9.0"
"紀美野町_　　K 不動産業，物品賃貸業","4.0","9.0","7.0","2.0"
"紀美野町_　　L 学術研究，専門・技術サービス業","4.0","7.0","4.0","3.0"
"紀美野町_　　M 宿泊業，飲食サービス業","37.0","162.0","72.0","90.0"
"紀美野町_　　N 生活関連サービス業，娯楽業","37.0","158.0","66.0","92.0"
"紀美野町_　　O 教育，学習支援業","13.0","26.0","8.0","18.0"
"紀美野町_　　P 医療，福祉","30.0","350.0","100.0","250.0"
"紀美野町_　　Q 複合サービス事業","10.0","81.0","48.0","33.0"
"紀美野町_　　R サービス業(他に分類されないもの)","48.0","146.0","90.0","56.0"
"かつらぎ町_A～R 全産業(S公務を除く)","846.0","6620.0","3652.0","2968.0"
"かつらぎ町_　A～B 農林漁業","11.0","136.0","102.0","34.0"
"かつらぎ町_　　A 農業，林業","11.0","136.0","102.0","34.0"
"かつらぎ町_　　B 漁業","-","-","-","-"
"かつらぎ町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"かつらぎ町_　C～R 非農林漁業(S公務を除く)","835.0","6484.0","3550.0","2934.0"
"かつらぎ町_　　C 鉱業，採石業，砂利採取業","1.0","6.0","4.0","2.0"
"かつらぎ町_　　D 建設業","105.0","574.0","490.0","84.0"
"かつらぎ町_　　E 製造業","105.0","1978.0","1280.0","698.0"
"かつらぎ町_　　F 電気・ガス・熱供給・水道業","3.0","33.0","31.0","2.0"
"かつらぎ町_　　G 情報通信業","2.0","13.0","1.0","12.0"
"かつらぎ町_　　H 運輸業，郵便業","16.0","377.0","352.0","25.0"
"かつらぎ町_　　I 卸売業，小売業","235.0","1163.0","511.0","652.0"
"かつらぎ町_　　J 金融業，保険業","8.0","79.0","28.0","51.0"
"かつらぎ町_　　K 不動産業，物品賃貸業","32.0","81.0","56.0","25.0"
"かつらぎ町_　　L 学術研究，専門・技術サービス業","16.0","56.0","33.0","23.0"
"かつらぎ町_　　M 宿泊業，飲食サービス業","86.0","355.0","102.0","253.0"
"かつらぎ町_　　N 生活関連サービス業，娯楽業","74.0","356.0","143.0","213.0"
"かつらぎ町_　　O 教育，学習支援業","16.0","32.0","8.0","24.0"
"かつらぎ町_　　P 医療，福祉","63.0","1061.0","287.0","774.0"
"かつらぎ町_　　Q 複合サービス事業","9.0","101.0","52.0","49.0"
"かつらぎ町_　　R サービス業(他に分類されないもの)","64.0","219.0","172.0","47.0"
"九度山町_A～R 全産業(S公務を除く)","198.0","1097.0","508.0","589.0"
"九度山町_　A～B 農林漁業","4.0","18.0","9.0","9.0"
"九度山町_　　A 農業，林業","3.0","17.0","9.0","8.0"
"九度山町_　　B 漁業","1.0","1.0","-","1.0"
"九度山町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"九度山町_　C～R 非農林漁業(S公務を除く)","194.0","1079.0","499.0","580.0"
"九度山町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"九度山町_　　D 建設業","35.0","158.0","134.0","24.0"
"九度山町_　　E 製造業","23.0","124.0","67.0","57.0"
"九度山町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"九度山町_　　G 情報通信業","-","-","-","-"
"九度山町_　　H 運輸業，郵便業","3.0","36.0","32.0","4.0"
"九度山町_　　I 卸売業，小売業","60.0","258.0","88.0","170.0"
"九度山町_　　J 金融業，保険業","3.0","12.0","4.0","8.0"
"九度山町_　　K 不動産業，物品賃貸業","6.0","16.0","12.0","4.0"
"九度山町_　　L 学術研究，専門・技術サービス業","5.0","7.0","5.0","2.0"
"九度山町_　　M 宿泊業，飲食サービス業","12.0","58.0","17.0","41.0"
"九度山町_　　N 生活関連サービス業，娯楽業","13.0","17.0","6.0","11.0"
"九度山町_　　O 教育，学習支援業","2.0","4.0","-","4.0"
"九度山町_　　P 医療，福祉","13.0","312.0","94.0","218.0"
"九度山町_　　Q 複合サービス事業","3.0","27.0","16.0","11.0"
"九度山町_　　R サービス業(他に分類されないもの)","16.0","50.0","24.0","26.0"
"高野町_A～R 全産業(S公務を除く)","368.0","2394.0","1417.0","977.0"
"高野町_　A～B 農林漁業","1.0","51.0","50.0","1.0"
"高野町_　　A 農業，林業","1.0","51.0","50.0","1.0"
"高野町_　　B 漁業","-","-","-","-"
"高野町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"高野町_　C～R 非農林漁業(S公務を除く)","367.0","2343.0","1367.0","976.0"
"高野町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"高野町_　　D 建設業","35.0","127.0","102.0","25.0"
"高野町_　　E 製造業","33.0","175.0","82.0","93.0"
"高野町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"高野町_　　G 情報通信業","1.0","20.0","18.0","2.0"
"高野町_　　H 運輸業，郵便業","10.0","82.0","76.0","6.0"
"高野町_　　I 卸売業，小売業","123.0","471.0","212.0","259.0"
"高野町_　　J 金融業，保険業","2.0","24.0","11.0","13.0"
"高野町_　　K 不動産業，物品賃貸業","5.0","6.0","3.0","3.0"
"高野町_　　L 学術研究，専門・技術サービス業","4.0","11.0","9.0","2.0"
"高野町_　　M 宿泊業，飲食サービス業","48.0","236.0","115.0","121.0"
"高野町_　　N 生活関連サービス業，娯楽業","20.0","54.0","22.0","32.0"
"高野町_　　O 教育，学習支援業","6.0","178.0","136.0","42.0"
"高野町_　　P 医療，福祉","11.0","89.0","43.0","46.0"
"高野町_　　Q 複合サービス事業","3.0","24.0","20.0","4.0"
"高野町_　　R サービス業(他に分類されないもの)","66.0","846.0","518.0","328.0"
"湯浅町_A～R 全産業(S公務を除く)","862.0","4679.0","2306.0","2373.0"
"湯浅町_　A～B 農林漁業","5.0","85.0","42.0","43.0"
"湯浅町_　　A 農業，林業","5.0","85.0","42.0","43.0"
"湯浅町_　　B 漁業","-","-","-","-"
"湯浅町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"湯浅町_　C～R 非農林漁業(S公務を除く)","857.0","4594.0","2264.0","2330.0"
"湯浅町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"湯浅町_　　D 建設業","91.0","423.0","353.0","70.0"
"湯浅町_　　E 製造業","76.0","572.0","307.0","265.0"
"湯浅町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"湯浅町_　　G 情報通信業","4.0","17.0","9.0","8.0"
"湯浅町_　　H 運輸業，郵便業","16.0","306.0","225.0","81.0"
"湯浅町_　　I 卸売業，小売業","278.0","1364.0","630.0","734.0"
"湯浅町_　　J 金融業，保険業","14.0","195.0","69.0","126.0"
"湯浅町_　　K 不動産業，物品賃貸業","46.0","74.0","43.0","31.0"
"湯浅町_　　L 学術研究，専門・技術サービス業","10.0","28.0","15.0","13.0"
"湯浅町_　　M 宿泊業，飲食サービス業","118.0","421.0","152.0","269.0"
"湯浅町_　　N 生活関連サービス業，娯楽業","69.0","161.0","77.0","84.0"
"湯浅町_　　O 教育，学習支援業","19.0","56.0","23.0","33.0"
"湯浅町_　　P 医療，福祉","46.0","693.0","181.0","512.0"
"湯浅町_　　Q 複合サービス事業","7.0","58.0","38.0","20.0"
"湯浅町_　　R サービス業(他に分類されないもの)","63.0","226.0","142.0","84.0"
"広川町_A～R 全産業(S公務を除く)","323.0","1758.0","1067.0","691.0"
"広川町_　A～B 農林漁業","5.0","87.0","56.0","31.0"
"広川町_　　A 農業，林業","5.0","87.0","56.0","31.0"
"広川町_　　B 漁業","-","-","-","-"
"広川町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"広川町_　C～R 非農林漁業(S公務を除く)","318.0","1671.0","1011.0","660.0"
"広川町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"広川町_　　D 建設業","57.0","246.0","203.0","43.0"
"広川町_　　E 製造業","35.0","450.0","312.0","138.0"
"広川町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"広川町_　　G 情報通信業","-","-","-","-"
"広川町_　　H 運輸業，郵便業","12.0","84.0","66.0","18.0"
"広川町_　　I 卸売業，小売業","83.0","321.0","188.0","133.0"
"広川町_　　J 金融業，保険業","2.0","19.0","8.0","11.0"
"広川町_　　K 不動産業，物品賃貸業","18.0","29.0","18.0","11.0"
"広川町_　　L 学術研究，専門・技術サービス業","7.0","27.0","20.0","7.0"
"広川町_　　M 宿泊業，飲食サービス業","23.0","86.0","31.0","55.0"
"広川町_　　N 生活関連サービス業，娯楽業","21.0","49.0","22.0","27.0"
"広川町_　　O 教育，学習支援業","8.0","50.0","28.0","22.0"
"広川町_　　P 医療，福祉","16.0","180.0","46.0","134.0"
"広川町_　　Q 複合サービス事業","6.0","24.0","9.0","15.0"
"広川町_　　R サービス業(他に分類されないもの)","30.0","106.0","60.0","46.0"
"有田川町_A～R 全産業(S公務を除く)","1449.0","9212.0","5107.0","4105.0"
"有田川町_　A～B 農林漁業","12.0","110.0","60.0","50.0"
"有田川町_　　A 農業，林業","12.0","110.0","60.0","50.0"
"有田川町_　　B 漁業","-","-","-","-"
"有田川町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"有田川町_　C～R 非農林漁業(S公務を除く)","1437.0","9102.0","5047.0","4055.0"
"有田川町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"有田川町_　　D 建設業","232.0","1139.0","900.0","239.0"
"有田川町_　　E 製造業","106.0","1592.0","1031.0","561.0"
"有田川町_　　F 電気・ガス・熱供給・水道業","3.0","12.0","10.0","2.0"
"有田川町_　　G 情報通信業","3.0","18.0","9.0","9.0"
"有田川町_　　H 運輸業，郵便業","41.0","539.0","480.0","59.0"
"有田川町_　　I 卸売業，小売業","433.0","2189.0","1034.0","1155.0"
"有田川町_　　J 金融業，保険業","13.0","174.0","85.0","89.0"
"有田川町_　　K 不動産業，物品賃貸業","40.0","101.0","56.0","45.0"
"有田川町_　　L 学術研究，専門・技術サービス業","29.0","88.0","50.0","38.0"
"有田川町_　　M 宿泊業，飲食サービス業","151.0","580.0","193.0","387.0"
