"産業小分類","事　　業　　所　　数_総　数","事　　業　　所　　数_総　数_存続事業所","事　　業　　所　　数_総　数_新設事業所","事　　業　　所　　数_総　数廃業事業所","従　　業　　者　　数_総　　数","従　　業　　者　　数_総　　数_男","従　　業　　者　　数_総　　数_女","従　　業　　者　　数_総　　数_存続事業所","従　　業　　者　　数_総　　数_存続事業所男","従　　業　　者　　数_総　　数_存続事業所女","従　　業　　者　　数_総　　数_新設事業所","従　　業　　者　　数_総　　数_新設事業所男","従　　業　　者　　数_総　　数_新設事業所女","従　　業　　者　　数_廃業事業所","従　　業　　者　　数_廃業事業所_男","従　　業　　者　　数_廃業事業所_女"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業_　　　　140 管理，補助的経済活動を行う事業所","2.0","1.0","1.0","-","55.0","45.0","10.0","5.0","2.0","3.0","50.0","43.0","7.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業_　　　　141 パルプ製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業_　　　　142 紙製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業_　　　　143 加工紙製造業","1.0","1.0","-","2.0","1.0","1.0","-","1.0","1.0","-","-","-","-","9.0","6.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業_　　　　144 紙製品製造業","6.0","6.0","-","-","36.0","17.0","19.0","36.0","17.0","19.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業_　　　　145 紙製容器製造業","47.0","47.0","-","-","743.0","486.0","257.0","743.0","486.0","257.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業_　　　　149 その他のパルプ・紙・紙加工品製造業","7.0","7.0","-","1.0","46.0","36.0","10.0","46.0","36.0","10.0","-","-","-","3.0","3.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　15 印刷・同関連業_","215.0","210.0","5.0","19.0","2011.0","1351.0","660.0","1982.0","1342.0","640.0","29.0","9.0","20.0","53.0","33.0","20.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　15 印刷・同関連業_　　　　150 管理，補助的経済活動を行う事業所","3.0","3.0","-","-","23.0","21.0","2.0","23.0","21.0","2.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　15 印刷・同関連業_　　　　151 印刷業","196.0","191.0","5.0","18.0","1933.0","1301.0","632.0","1904.0","1292.0","612.0","29.0","9.0","20.0","52.0","32.0","20.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　15 印刷・同関連業_　　　　152 製版業","4.0","4.0","-","1.0","27.0","16.0","11.0","27.0","16.0","11.0","-","-","-","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　15 印刷・同関連業_　　　　153 製本業，印刷物加工業","11.0","11.0","-","-","27.0","12.0","15.0","27.0","12.0","15.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　15 印刷・同関連業_　　　　159 印刷関連サービス業","1.0","1.0","-","-","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業_","113.0","109.0","4.0","9.0","5663.0","4268.0","1395.0","5558.0","4207.0","1351.0","105.0","61.0","44.0","120.0","77.0","43.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業_　　　　160 管理，補助的経済活動を行う事業所","7.0","7.0","-","-","114.0","85.0","29.0","114.0","85.0","29.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業_　　　　161 化学肥料製造業","2.0","1.0","1.0","-","6.0","5.0","1.0","4.0","3.0","1.0","2.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業_　　　　162 無機化学工業製品製造業","15.0","14.0","1.0","3.0","338.0","314.0","24.0","319.0","295.0","24.0","19.0","19.0","-","19.0","18.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業_　　　　163 有機化学工業製品製造業","21.0","21.0","-","1.0","960.0","885.0","75.0","960.0","885.0","75.0","-","-","-","11.0","11.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業_　　　　164 油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業","13.0","13.0","-","1.0","2003.0","1764.0","239.0","2003.0","1764.0","239.0","-","-","-","1.0","-","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業_　　　　165 医薬品製造業","25.0","23.0","2.0","3.0","777.0","421.0","356.0","693.0","381.0","312.0","84.0","40.0","44.0","88.0","47.0","41.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業_　　　　166 化粧品・歯磨・その他の化粧用調整品製造業","9.0","9.0","-","-","876.0","379.0","497.0","876.0","379.0","497.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業_　　　　169 その他の化学工業","21.0","21.0","-","1.0","589.0","415.0","174.0","589.0","415.0","174.0","-","-","-","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業_","22.0","20.0","2.0","5.0","1036.0","956.0","80.0","1020.0","942.0","78.0","16.0","14.0","2.0","22.0","20.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業_　　　　170 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","7.0","3.0","4.0","7.0","3.0","4.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業_　　　　171 石油精製業","3.0","3.0","-","-","690.0","635.0","55.0","690.0","635.0","55.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業_　　　　172 潤滑油・グリース製造業(石油精製業によらないもの)","3.0","3.0","-","-","167.0","159.0","8.0","167.0","159.0","8.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業_　　　　173 コークス製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業_　　　　174 舗装材料製造業","10.0","9.0","1.0","3.0","30.0","21.0","9.0","26.0","18.0","8.0","4.0","3.0","1.0","10.0","9.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業_　　　　179 その他の石油製品・石炭製品製造業","4.0","3.0","1.0","2.0","142.0","138.0","4.0","130.0","127.0","3.0","12.0","11.0","1.0","12.0","11.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)_","146.0","144.0","2.0","15.0","2508.0","1509.0","999.0","2333.0","1374.0","959.0","175.0","135.0","40.0","97.0","68.0","29.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)_　　　　180 管理，補助的経済活動を行う事業所","3.0","3.0","-","-","37.0","13.0","24.0","37.0","13.0","24.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)_　　　　181 プラスチック板・棒・管・継手・異形押出製品製造業","8.0","8.0","-","2.0","194.0","160.0","34.0","194.0","160.0","34.0","-","-","-","3.0","1.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)_　　　　182 プラスチックフィルム・シート・床材・合成皮革製造業","16.0","15.0","1.0","1.0","636.0","488.0","148.0","465.0","356.0","109.0","171.0","132.0","39.0","2.0","1.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)_　　　　183 工業用プラスチック製品製造業","12.0","12.0","-","2.0","120.0","69.0","51.0","120.0","69.0","51.0","-","-","-","52.0","42.0","10.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)_　　　　184 発泡・強化プラスチック製品製造業","17.0","16.0","1.0","3.0","209.0","145.0","64.0","205.0","142.0","63.0","4.0","3.0","1.0","21.0","13.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)_　　　　185 プラスチック成形材料製造業(廃プラスチックを含む)","8.0","8.0","-","1.0","86.0","64.0","22.0","86.0","64.0","22.0","-","-","-","3.0","3.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)_　　　　189 その他のプラスチック製品製造業","82.0","82.0","-","6.0","1226.0","570.0","656.0","1226.0","570.0","656.0","-","-","-","16.0","8.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　19 ゴム製品製造業_","25.0","25.0","-","5.0","1187.0","729.0","458.0","1187.0","729.0","458.0","-","-","-","66.0","17.0","49.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　19 ゴム製品製造業_　　　　190 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　19 ゴム製品製造業_　　　　191 タイヤ・チューブ製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　19 ゴム製品製造業_　　　　192 ゴム製・プラスチック製履物・同附属品製造業","2.0","2.0","-","1.0","56.0","20.0","36.0","56.0","20.0","36.0","-","-","-","22.0","8.0","14.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　19 ゴム製品製造業_　　　　193 ゴムベルト・ゴムホース・工業用ゴム製品製造業","17.0","17.0","-","2.0","1101.0","689.0","412.0","1101.0","689.0","412.0","-","-","-","9.0","7.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　19 ゴム製品製造業_　　　　199 その他のゴム製品製造業","6.0","6.0","-","2.0","30.0","20.0","10.0","30.0","20.0","10.0","-","-","-","35.0","2.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_","27.0","26.0","1.0","3.0","191.0","109.0","82.0","185.0","104.0","81.0","6.0","5.0","1.0","13.0","11.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　200 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　201 なめし革製造業","10.0","9.0","1.0","2.0","94.0","65.0","29.0","88.0","60.0","28.0","6.0","5.0","1.0","12.0","11.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　202 工業用革製品製造業(手袋を除く)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　203 革製履物用材料・同附属品製造業","1.0","1.0","-","-","5.0","2.0","3.0","5.0","2.0","3.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　204 革製履物製造業","3.0","3.0","-","1.0","15.0","8.0","7.0","15.0","8.0","7.0","-","-","-","1.0","-","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　205 革製手袋製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　206 かばん製造業","5.0","5.0","-","-","56.0","26.0","30.0","56.0","26.0","30.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　207 袋物製造業","6.0","6.0","-","-","18.0","6.0","12.0","18.0","6.0","12.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　208 毛皮製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業_　　　　209 その他のなめし革製品製造業","1.0","1.0","-","-","2.0","1.0","1.0","2.0","1.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_","152.0","150.0","2.0","21.0","1768.0","1482.0","286.0","1740.0","1463.0","277.0","28.0","19.0","9.0","139.0","107.0","32.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　210 管理，補助的経済活動を行う事業所","8.0","7.0","1.0","2.0","24.0","14.0","10.0","12.0","9.0","3.0","12.0","5.0","7.0","16.0","6.0","10.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　211 ガラス・同製品製造業","8.0","8.0","-","1.0","204.0","191.0","13.0","204.0","191.0","13.0","-","-","-","4.0","3.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　212 セメント・同製品製造業","86.0","86.0","-","9.0","1032.0","880.0","152.0","1032.0","880.0","152.0","-","-","-","73.0","66.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　213 建設用粘土製品製造業(陶磁器製を除く)","2.0","2.0","-","2.0","8.0","5.0","3.0","8.0","5.0","3.0","-","-","-","8.0","6.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　214 陶磁器・同関連製品製造業","5.0","5.0","-","2.0","9.0","6.0","3.0","9.0","6.0","3.0","-","-","-","2.0","1.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　215 耐火物製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　216 炭素・黒鉛製品製造業","3.0","3.0","-","-","21.0","16.0","5.0","21.0","16.0","5.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　217 研磨材・同製品製造業","3.0","3.0","-","1.0","44.0","32.0","12.0","44.0","32.0","12.0","-","-","-","3.0","1.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　218 骨材・石工品等製造業","27.0","26.0","1.0","4.0","161.0","119.0","42.0","145.0","105.0","40.0","16.0","14.0","2.0","33.0","24.0","9.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業_　　　　219 その他の窯業・土石製品製造業","10.0","10.0","-","-","265.0","219.0","46.0","265.0","219.0","46.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業_","82.0","80.0","2.0","3.0","4629.0","4398.0","231.0","4281.0","4059.0","222.0","348.0","339.0","9.0","14.0","13.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業_　　　　220 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","5.0","5.0","-","5.0","5.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業_　　　　221 製鉄業","1.0","1.0","-","-","1103.0","1096.0","7.0","1103.0","1096.0","7.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業_　　　　222 製鋼・製鋼圧延業","2.0","2.0","-","-","372.0","354.0","18.0","372.0","354.0","18.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業_　　　　223 製鋼を行わない鋼材製造業(表面処理鋼材を除く)","9.0","8.0","1.0","2.0","2173.0","2086.0","87.0","1833.0","1754.0","79.0","340.0","332.0","8.0","11.0","11.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業_　　　　224 表面処理鋼材製造業","2.0","2.0","-","-","161.0","152.0","9.0","161.0","152.0","9.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業_　　　　225 鉄素形材製造業","12.0","12.0","-","1.0","176.0","150.0","26.0","176.0","150.0","26.0","-","-","-","3.0","2.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業_　　　　229 その他の鉄鋼業","54.0","53.0","1.0","-","639.0","555.0","84.0","631.0","548.0","83.0","8.0","7.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業_","22.0","22.0","-","2.0","629.0","514.0","115.0","629.0","514.0","115.0","-","-","-","22.0","8.0","14.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業_　　　　230 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業_　　　　231 非鉄金属第１次製錬・精製業","1.0","1.0","-","-","102.0","99.0","3.0","102.0","99.0","3.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業_　　　　232 非鉄金属第２次製錬・精製業(非鉄金属合金製造業を含む)","4.0","4.0","-","-","8.0","8.0","-","8.0","8.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業_　　　　233 非鉄金属・同合金圧延業(抽伸，押出しを含む)","6.0","6.0","-","-","79.0","72.0","7.0","79.0","72.0","7.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業_　　　　234 電線・ケーブル製造業","4.0","4.0","-","-","157.0","80.0","77.0","157.0","80.0","77.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業_　　　　235 非鉄金属素形材製造業","2.0","2.0","-","1.0","135.0","121.0","14.0","135.0","121.0","14.0","-","-","-","2.0","1.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業_　　　　239 その他の非鉄金属製造業","5.0","5.0","-","1.0","148.0","134.0","14.0","148.0","134.0","14.0","-","-","-","20.0","7.0","13.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_","339.0","326.0","13.0","44.0","4662.0","3880.0","782.0","4459.0","3708.0","751.0","203.0","172.0","31.0","358.0","299.0","59.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　240 管理，補助的経済活動を行う事業所","5.0","4.0","1.0","-","15.0","12.0","3.0","14.0","11.0","3.0","1.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　241 ブリキ缶・その他のめっき板等製品製造業","2.0","2.0","-","-","89.0","72.0","17.0","89.0","72.0","17.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　242 洋食器・刃物・手道具・金物類製造業","28.0","28.0","-","4.0","126.0","86.0","40.0","126.0","86.0","40.0","-","-","-","19.0","10.0","9.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　243 暖房装置・配管工事用附属品製造業","12.0","11.0","1.0","1.0","139.0","102.0","37.0","130.0","94.0","36.0","9.0","8.0","1.0","12.0","11.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　244 建設用・建築用金属製品製造業(製缶板金業を含む)","201.0","193.0","8.0","25.0","2701.0","2367.0","334.0","2552.0","2234.0","318.0","149.0","133.0","16.0","247.0","215.0","32.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　245 金属素形材製品製造業","19.0","18.0","1.0","4.0","590.0","439.0","151.0","565.0","423.0","142.0","25.0","16.0","9.0","15.0","8.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　246 金属被覆・彫刻業，熱処理業(ほうろう鉄器を除く)","33.0","31.0","2.0","4.0","520.0","422.0","98.0","501.0","408.0","93.0","19.0","14.0","5.0","38.0","30.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　247 金属線製品製造業(ねじ類を除く)","16.0","16.0","-","1.0","105.0","82.0","23.0","105.0","82.0","23.0","-","-","-","2.0","2.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　248 ボルト・ナット・リベット・小ねじ・木ねじ等製造業","9.0","9.0","-","-","210.0","159.0","51.0","210.0","159.0","51.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業_　　　　249 その他の金属製品製造業","14.0","14.0","-","5.0","167.0","139.0","28.0","167.0","139.0","28.0","-","-","-","25.0","23.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　25 はん用機械器具製造業_","93.0","92.0","1.0","15.0","2580.0","2154.0","426.0","2575.0","2149.0","426.0","5.0","5.0","-","166.0","139.0","27.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　25 はん用機械器具製造業_　　　　250 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","7.0","7.0","-","7.0","7.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　25 はん用機械器具製造業_　　　　251 ボイラ・原動機製造業","2.0","2.0","-","-","18.0","17.0","1.0","18.0","17.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　25 はん用機械器具製造業_　　　　252 ポンプ・圧縮機器製造業","4.0","4.0","-","-","62.0","41.0","21.0","62.0","41.0","21.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　25 はん用機械器具製造業_　　　　253 一般産業用機械・装置製造業","28.0","27.0","1.0","7.0","1794.0","1519.0","275.0","1789.0","1514.0","275.0","5.0","5.0","-","143.0","120.0","23.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　25 はん用機械器具製造業_　　　　259 その他のはん用機械・同部分品製造業","57.0","57.0","-","8.0","699.0","570.0","129.0","699.0","570.0","129.0","-","-","-","23.0","19.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_","209.0","208.0","1.0","16.0","4185.0","3348.0","837.0","4151.0","3315.0","836.0","34.0","33.0","1.0","106.0","86.0","20.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_　　　　260 管理，補助的経済活動を行う事業所","3.0","3.0","-","-","5.0","2.0","3.0","5.0","2.0","3.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_　　　　261 農業用機械製造業(農業用器具を除く)","11.0","11.0","-","2.0","209.0","168.0","41.0","209.0","168.0","41.0","-","-","-","2.0","2.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_　　　　262 建設機械・鉱山機械製造業","3.0","3.0","-","-","155.0","144.0","11.0","155.0","144.0","11.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_　　　　263 繊維機械製造業","32.0","32.0","-","2.0","1746.0","1335.0","411.0","1746.0","1335.0","411.0","-","-","-","43.0","40.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_　　　　264 生活関連産業用機械製造業","33.0","33.0","-","1.0","629.0","526.0","103.0","629.0","526.0","103.0","-","-","-","7.0","4.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_　　　　265 基礎素材産業用機械製造業","23.0","23.0","-","4.0","268.0","233.0","35.0","268.0","233.0","35.0","-","-","-","20.0","12.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_　　　　266 金属加工機械製造業","55.0","54.0","1.0","4.0","626.0","518.0","108.0","592.0","485.0","107.0","34.0","33.0","1.0","27.0","21.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_　　　　267 半導体・フラットパネルディスプレイ製造装置製造業","3.0","3.0","-","-","54.0","39.0","15.0","54.0","39.0","15.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業_　　　　269 その他の生産用機械・同部分品製造業","46.0","46.0","-","3.0","493.0","383.0","110.0","493.0","383.0","110.0","-","-","-","7.0","7.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業_","30.0","28.0","2.0","3.0","1262.0","826.0","436.0","778.0","543.0","235.0","484.0","283.0","201.0","5.0","4.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業_　　　　270 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業_　　　　271 事務用機械器具製造業","7.0","7.0","-","1.0","377.0","244.0","133.0","377.0","244.0","133.0","-","-","-","3.0","2.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業_　　　　272 サービス用・娯楽用機械器具製造業","4.0","3.0","1.0","-","24.0","15.0","9.0","17.0","12.0","5.0","7.0","3.0","4.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業_　　　　273 計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業","7.0","7.0","-","-","256.0","187.0","69.0","256.0","187.0","69.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業_　　　　274 医療用機械器具・医療用品製造業","11.0","11.0","-","-","128.0","100.0","28.0","128.0","100.0","28.0","-","-","-","-","-","-"
