"産業小分類","事　　業　　所　　数_総　数","事　　業　　所　　数_総　数_存続事業所","事　　業　　所　　数_総　数_新設事業所","事　　業　　所　　数_総　数廃業事業所","従　　業　　者　　数_総　　数","従　　業　　者　　数_総　　数_男","従　　業　　者　　数_総　　数_女","従　　業　　者　　数_総　　数_存続事業所","従　　業　　者　　数_総　　数_存続事業所男","従　　業　　者　　数_総　　数_存続事業所女","従　　業　　者　　数_総　　数_新設事業所","従　　業　　者　　数_総　　数_新設事業所男","従　　業　　者　　数_総　　数_新設事業所女","従　　業　　者　　数_廃業事業所","従　　業　　者　　数_廃業事業所_男","従　　業　　者　　数_廃業事業所_女"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業_　　　　052 石炭・亜炭鉱業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業_　　　　053 原油・天然ガス鉱業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業_　　　　054 採石業，砂・砂利・玉石採取業","4.0","4.0","-","2.0","20.0","14.0","6.0","20.0","14.0","6.0","-","-","-","10.0","8.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業_　　　　055 窯業原料用鉱物鉱業(耐火物・陶磁器・ガラス・セメント原料用に限る)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業_　　　　059 その他の鉱業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業_　　　　05Z 鉱業，採石業，砂利採取業 内格付不能","4.0","4.0","-","-","76.0","67.0","9.0","76.0","67.0","9.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_","4680.0","4600.0","80.0","711.0","28575.0","23415.0","5160.0","28094.0","23011.0","5083.0","481.0","404.0","77.0","2465.0","2057.0","408.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業_","2294.0","2248.0","46.0","341.0","15366.0","12356.0","3010.0","15063.0","12096.0","2967.0","303.0","260.0","43.0","1409.0","1172.0","237.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業_　　　　060 管理，補助的経済活動を行う事業所","1.0","1.0","-","2.0","7.0","7.0","-","7.0","7.0","-","-","-","-","4.0","2.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業_　　　　061 一般土木建築工事業","203.0","198.0","5.0","35.0","2211.0","1870.0","341.0","2199.0","1862.0","337.0","12.0","8.0","4.0","156.0","132.0","24.0"
